"roi","ACME","ACME_p","ACME_ci_low","ACME_ci_high","ADE","ADE_p","Total","Total_p","Prop_Mediated","Prop_Mediated_p","N"
"brain_sim_76",1.86087408893902e-05,0.914,-0.000742460560990561,0.000950118567947542,0.0782589196512816,0,0.078277528392171,0,0.000237727752416508,0.914,4392
"brain_sim_77",0.00020097059808554,0.626,-0.000618431698903982,0.00124788220789457,0.0780765577940813,0,0.0782775283921668,0,0.00256741113590974,0.626,4392
"brain_sim_78",8.19818034825302e-05,0.808,-0.000506254976208505,0.000812008381326445,0.0781955465886884,0,0.0782775283921709,0,0.00104732233076907,0.808,4392
"brain_sim_79",0.00164657429900928,0.024,0.00021479520052544,0.00369556137425713,0.0766309540931618,0,0.0782775283921711,0,0.0210350829009307,0.024,4392
"brain_sim_80",-0.000140559775873039,0.84,-0.001608543489952,0.00106580590696076,0.0784180881680472,0,0.0782775283921742,0,-0.00179565935154248,0.84,4392
"brain_sim_81",-0.000253304388977066,0.544,-0.00136605435941601,0.00043736871885336,0.0785308327811538,0,0.0782775283921768,0,-0.00323597837310333,0.544,4392
"brain_sim_82",0.000268974946610856,0.5,-0.000425096713214988,0.00137875635446232,0.0780085534455578,0,0.0782775283921687,0,0.00343617066271303,0.5,4392
"brain_sim_83",0.000136682744096118,0.75,-0.000549600805163192,0.00110630736678939,0.0781408456480787,0,0.0782775283921748,0,0.00174613004400611,0.75,4392
"brain_sim_84",3.29008124488212e-05,0.964,-0.00124435074005055,0.00132398070414719,0.0782446275797288,0,0.0782775283921777,0,0.00042030980186274,0.964,4392
"brain_sim_85",4.82469320881926e-05,0.858,-0.000474235026023088,0.000669773477041784,0.0782292814600914,0,0.0782775283921796,0,0.000616357377132167,0.858,4392
"brain_sim_86",-0.000269969907578782,0.67,-0.00155236499627934,0.000909283021476014,0.078547498299753,0,0.0782775283921742,0,-0.00344888134722675,0.67,4392
"brain_sim_87",-0.000561395658670502,0.296,-0.00202736081850262,0.000492744025535165,0.0788389240508423,0,0.0782775283921718,0,-0.00717186234927986,0.296,4392
"brain_sim_88",0.00078845444022457,0.478,-0.00157324682540008,0.0030985484753806,0.0774890739519422,0,0.0782775283921667,0,0.0100725515536777,0.478,4392
"brain_sim_89",0.000602558920100405,0.388,-0.000757569486456169,0.00230561811969165,0.0776749694720709,0,0.0782775283921713,0,0.00769772541976004,0.388,4392
"brain_sim_90",-0.000706477543194858,0.37,-0.00259805216229224,0.000929550130359777,0.078984005935359,0,0.0782775283921641,0,-0.00902529190313039,0.37,4392
"brain_sim_91",-0.000154752218522425,0.694,-0.00120709179359641,0.000807627190233245,0.0784322806106893,0,0.0782775283921668,0,-0.00197696863584046,0.694,4392
"brain_sim_92",0.00139297837821319,0.074,-0.000108157891200467,0.00336503341656901,0.0768845500139667,0,0.0782775283921799,0,0.0177953801917991,0.074,4392
"brain_sim_93",0.000463862014665562,0.416,-0.000711322057820959,0.00195752029089401,0.0778136663774997,0,0.0782775283921653,0,0.00592586434693804,0.416,4392
"brain_sim_94",-0.000113818435743827,0.752,-0.000973125675930293,0.000619584910866397,0.0783913468279141,0,0.0782775283921703,0,-0.00145403716854213,0.752,4392
"brain_sim_95",-0.000297841733438499,0.828,-0.00261939055738507,0.0018723456357737,0.0785753701256141,0,0.0782775283921757,0,-0.00380494555150351,0.828,4392
"brain_sim_96",0.000864743981768655,0.216,-0.000478279125965049,0.00259518689776071,0.0774127844103998,0,0.0782775283921685,0,0.0110471549055089,0.216,4392
"brain_sim_97",0.000987401078740923,0.312,-0.000816230604340865,0.00286047586824393,0.0772901273134253,0,0.0782775283921663,0,0.0126141064878045,0.312,4392
"brain_sim_98",0.00601805256428988,0,0.00302075728799856,0.00988876487633032,0.0722594758278788,0,0.0782775283921686,0,0.0768809732231142,0,4392
"brain_sim_99",0.00159970761532507,0.13,-0.000370267015564377,0.00392604386212925,0.0766778207768487,0,0.0782775283921738,0,0.0204363582778248,0.13,4392
"brain_sim_100",-0.00013244939130999,0.722,-0.00106876128293773,0.000449686153071272,0.0784099777834873,0,0.0782775283921773,0,-0.00169204871475255,0.722,4392
"brain_sim_101",0.000125744936176793,0.75,-0.000544759754453032,0.00088229341941679,0.0781517834560027,0,0.0782775283921795,0,0.00160639890859605,0.75,4392
"brain_sim_102",2.82827414181994e-05,0.95,-0.000485119720072555,0.000628215446763499,0.0782492456507546,0,0.0782775283921728,0,0.00036131367455168,0.95,4392
"brain_sim_103",0.000781536549409647,0.156,-0.000233023037885316,0.00217335901140268,0.0774959918427589,0,0.0782775283921685,0,0.00998417509421309,0.156,4392
"brain_sim_104",0.000286359662888809,0.52,-0.00045178300070495,0.00144754288882165,0.0779911687292838,0,0.0782775283921726,0,0.00365826142918232,0.52,4392
"brain_sim_105",0.000138789970953962,0.698,-0.000545685322596274,0.00113457028065545,0.0781387384212169,0,0.0782775283921709,0,0.00177304999026826,0.698,4392
"brain_sim_106",-3.18477574448856e-05,0.904,-0.000848585555727727,0.000702993294331342,0.07830937614961,0,0.0782775283921651,0,-0.000406856962643614,0.904,4392
"brain_sim_107",-7.74399548729376e-06,0.996,-0.0012650403410325,0.00116483951768654,0.0782852723876614,0,0.0782775283921742,0,-9.89299949341269e-05,0.996,4392
"brain_sim_108",-0.000311136638789127,0.478,-0.00141412532361576,0.000437955614512268,0.0785886650309634,0,0.0782775283921743,0,-0.0039747887443548,0.478,4392
"brain_sim_109",-0.000195420306864172,0.682,-0.00120850156872702,0.000479512750082041,0.078472948699033,0,0.0782775283921689,0,-0.00249650584117986,0.682,4392
"brain_sim_110",6.3449554812653e-05,0.868,-0.000522178804119963,0.000746014645601007,0.0782140788373549,0,0.0782775283921676,0,0.000810571770927321,0.868,4392
"brain_sim_111",0.00038059769000664,0.344,-0.000320621012751724,0.00156964632272125,0.0778969307021597,0,0.0782775283921663,0,0.00486215773318577,0.344,4392
"brain_sim_112",-0.000243277818058917,0.56,-0.00142052010233704,0.000621580180375638,0.0785208062102346,0,0.0782775283921757,0,-0.00310788834363905,0.56,4392
"brain_sim_113",-0.000135462847498345,0.698,-0.00104241063849371,0.000526394068734385,0.078412991239666,0,0.0782775283921677,0,-0.00173054579367504,0.698,4392
"brain_sim_114",-2.90694980087593e-05,0.978,-0.000773396798186306,0.000724799569504377,0.0783065978901789,0,0.0782775283921702,0,-0.000371364535976676,0.978,4392
"brain_sim_115",4.68310611161805e-05,0.948,-0.00117352293843591,0.00125729438806954,0.078230697331054,0,0.0782775283921702,0,0.000598269542716742,0.948,4392
