similarity,distance,group,character,sub
,1,1,0,9
,2,1,0,9
,3,1,0,9
,1,1,0,9
,2,1,0,9
,1,1,0,9
0.46940726041793823,1,1,0,10
0.6618112325668335,2,1,0,10
0.5527828335762024,3,1,0,10
0.5502734780311584,4,1,0,10
0.49924081563949585,5,1,0,10
0.45521053671836853,6,1,0,10
0.4524518549442291,7,1,0,10
0.6063311100006104,8,1,0,10
0.5277829766273499,9,1,0,10
0.4036487340927124,1,1,0,10
0.4761394262313843,2,1,0,10
0.44622254371643066,3,1,0,10
0.4815365672111511,4,1,0,10
0.48540323972702026,5,1,0,10
0.4402956962585449,6,1,0,10
0.4012082815170288,7,1,0,10
0.42727476358413696,8,1,0,10
0.5046334266662598,1,1,0,10
0.5223935842514038,2,1,0,10
0.4474460184574127,3,1,0,10
0.5072618126869202,4,1,0,10
0.4119412302970886,5,1,0,10
0.5702265501022339,6,1,0,10
0.48926135897636414,7,1,0,10
0.2925776541233063,1,1,0,10
0.851555585861206,2,1,0,10
0.468028724193573,3,1,0,10
0.8686383366584778,4,1,0,10
0.2629478871822357,5,1,0,10
0.3945595920085907,6,1,0,10
0.2202843874692917,1,1,0,10
0.5010069012641907,2,1,0,10
0.20662742853164673,3,1,0,10
0.5814213752746582,4,1,0,10
0.4090477526187897,5,1,0,10
0.49356648325920105,1,1,0,10
0.8740134239196777,2,1,0,10
0.2558211386203766,3,1,0,10
0.40165460109710693,4,1,0,10
0.4813821315765381,1,1,0,10
0.4964349865913391,2,1,0,10
0.45801690220832825,3,1,0,10
0.22253134846687317,1,1,0,10
0.2847873270511627,2,1,0,10
0.45925700664520264,1,1,0,10
0.3587207794189453,1,1,0,11
0.6893187165260315,2,1,0,11
0.6737802624702454,3,1,0,11
0.748199462890625,4,1,0,11
0.5659027695655823,5,1,0,11
0.29197531938552856,6,1,0,11
0.3760563135147095,7,1,0,11
0.4466553032398224,8,1,0,11
0.5167078971862793,9,1,0,11
0.2291441559791565,1,1,0,11
0.21874460577964783,2,1,0,11
0.27676284313201904,3,1,0,11
0.21602824330329895,4,1,0,11
0.2498222291469574,5,1,0,11
0.1792900264263153,6,1,0,11
0.26756855845451355,7,1,0,11
0.2316136658191681,8,1,0,11
0.744969367980957,1,1,0,11
0.7717609405517578,2,1,0,11
0.638286828994751,3,1,0,11
0.410094678401947,4,1,0,11
0.4416388273239136,5,1,0,11
0.5452425479888916,6,1,0,11
0.6760817170143127,7,1,0,11
0.8582383394241333,1,1,0,11
0.6779400706291199,2,1,0,11
0.37929219007492065,3,1,0,11
0.3056885600090027,4,1,0,11
0.47843217849731445,5,1,0,11
0.6090529561042786,6,1,0,11
0.7191669940948486,1,1,0,11
0.4063129425048828,2,1,0,11
0.3616047501564026,3,1,0,11
0.559167742729187,4,1,0,11
0.6341716051101685,5,1,0,11
0.38823458552360535,1,1,0,11
0.3031128942966461,2,1,0,11
0.5820509195327759,3,1,0,11
0.6406981945037842,4,1,0,11
0.33175599575042725,1,1,0,11
0.4581263065338135,2,1,0,11
0.400887131690979,3,1,0,11
0.39180731773376465,1,1,0,11
0.4282015562057495,2,1,0,11
0.4244759976863861,1,1,0,11
0.25641632080078125,1,2,0,0
0.29147782921791077,2,2,0,0
0.3076067566871643,3,2,0,0
0.3117082118988037,4,2,0,0
0.35188642144203186,5,2,0,0
0.48629695177078247,6,2,0,0
0.3286868929862976,7,2,0,0
0.3553672432899475,8,2,0,0
0.3847030997276306,9,2,0,0
0.4145411550998688,1,2,0,0
0.3691725730895996,2,2,0,0
0.5845925807952881,3,2,0,0
0.5068554282188416,4,2,0,0
0.3385692536830902,5,2,0,0
0.5418214201927185,6,2,0,0
0.36154741048812866,7,2,0,0
0.45760059356689453,8,2,0,0
0.3784993290901184,1,2,0,0
0.28441137075424194,2,2,0,0
0.5213116407394409,3,2,0,0
0.44482555985450745,4,2,0,0
0.4505806267261505,5,2,0,0
0.3932284712791443,6,2,0,0
0.3953297734260559,7,2,0,0
0.41575855016708374,1,2,0,0
