subject,run,order,transcribe,subid_check,character,index
1008,7,1,"I just realized that Kate also had another sibling. I'm just a little confused as to why we don't see Kate interacting with Randall as much. Maybe they grew apart as they got older. But yeah, uh I see that she shared her first kiss with her date, Toby, which must have been a big moment for her. So yeah, I think she's feeling happy. Um, she seems really content with the relationship that's been blooming. And yeah, it seems like she's very protective of her brother and that they have a good relationship as you see you know her cover him with a blanket. Um, but yeah, nothing too much has changed about my thoughts on Kate.",sub-1008,2.0,105
1008,7,2,"Um, Jack, uh, well it turns out that he's the father of the three other characters. Um but yeah, that's my thoughts on him has changed because now I know um that he has passed since the characters in the present are talking about him in the past tense. So it seems as though Jack um is no longer alive. I'm just a little confused as to what the mother's role is. Um just 'cause she's also dead, but uh I guess there's more of a focus on Jack in the story. Um, but yeah, I still think he's a really great father. Um, nothing much has changed about him besides the fact um that we learn that he is the father of the three other uh main characters.",sub-1008,1.0,106
1008,7,3,I’m starting to have a little more respect for Kevin just because before it seemed as though he- all he was doing was complaining about his job but not really doing anything to change it. so now it seems like he's taking a stance. Now that he's quit his job in front of a live audience which I think will have some repercussions um just because it might be more difficult to find a job in the future after you making a scene out of yourself but I think it was worth it because um he needs to know his worth.,sub-1008,4.0,107
1008,7,4,we find out Randall has siblings. And he's looking for his biological father. Because his adoptive father is Jack.,sub-1008,3.0,108
1008,8,1,"I definitely feel bad about talking uh bad about Kevin earlier. But uh yeah I think he definitely has more substance. He knows his worth and he knows that he shouldn't be treated as a slab of meat. Um, especially when other actors are you know pursuing more deep roles and have more meaningful lives. And that's what he wants. Uh so yeah I think his goals are pretty clear. Um, he wants to make a name for himself that isn't associated with this y'know dumb uh sitcom. And I respect him for that.",sub-1008,4.0,109
1008,8,2,"I guess I learned you know Kate’s still um taking the relationship with Toby a little slow. Just 'cause at first she didn't want to let him in. She has hesitance towards the next step. Which you know as someone who's struggling with body image issues I can understand you don't want to um get your hopes up too high. But yeah it seems as though um this is kind of the introduction of Toby and Kate in the apartment. Um, but yeah uh nothing new has changed about Kate.",sub-1008,2.0,110
1008,8,3,"Uh, well now I have some reason to believe that Jack's wife definitely lost the third baby. Because it seems like something wrong was going on during the delivery. Uh, so yeah uh nothing really new changed about Jack's behavior. Um, I guess we um see again that he's a very attentive husband who's worried about her um and he takes note that she's in distress. So uh yeah nothing new.",sub-1008,1.0,111
1008,8,4,"Um, my thoughts about Randall. I think he was pretty fierce for going up to his father and saying all those things to him. It definitely seems true that he didn't need his father's influence to succeed. And I think it's very bold um but respectable move to tell his father that. Um it seems that he wants more than XXX 'cause he enters the building. So um yeah it was pretty understandable. You haven't seen your biological parents since they abandoned you. You don't want to just leave it at um telling them what they did wrong. But kind of get the explanation as to why. So I think that's what Randall's end goal is. So yeah um I am liking Randall's uh storyline.",sub-1008,3.0,112
1008,9,1,"I just realized Kate seems like a pretty good sister, you know, um being able to be there for her brother even though she's still on a date, um I think that's pretty selfless of her. Um, but yeah that's about it.",sub-1008,2.0,113
1008,9,2,"Uh, my thoughts on Randall. Um, I guess that we didn't, we haven't been seeing a lot of his parenting um style in these past clips. So it's just nice to see how attentive of a father he is. Um, and especially with his wife. It seems like they have a very good dynamic. Um, uh, yeah, it seems as though uh Randall's good parenting might have stemmed from the fact that his father was just not adequate and he wasn't there for him. So maybe he's um trying to make sure that his daughters have that father that they really need. Um, but yeah, I think Randall's a very good character. And uh yeah, it seems like he has a nice life for himself with his family.",sub-1008,3.0,114
1008,9,3,"Jack's a very attentive husband. Uh he seems to care for his wife. Um, I definitely feel for him at this moment. It must be hard to lose a child. Um, even though you know you have two other children, it's very difficult um loss, so. Uh, yeah, right now I'm feeling a little bit sad for him. Um, as for relationships with other characters, um I like the interaction between him and the doctor. I think it helps ease him in this, you know, um very tense moment, so, yeah.",sub-1008,1.0,115
